RowID,Year,BranchName,AnnualNumberofVisits
856,2020,Evelyn Gregory,16214
857,2020,Ethennonnhawahstihnen',45962
858,2020,Eglinton Square,68291
859,2020,Forest Hill,61033
860,2020,Fort York,65438
861,2020,Flemingdon Park,41276
862,2020,Fairview,157316
863,2020,Gerrard/Ashdale,27205
864,2020,Goldhawk Park,43959
865,2020,Guildwood,22876
866,2020,Humber Bay,9187
867,2020,Highland Creek,21700
868,2020,Hillcrest,38782
869,2020,High Park,89789
870,2020,Humber Summit,12252
871,2020,Humberwood,21521
872,2020,Jane/Dundas,58094
873,2020,Jones,32163
874,2020,Jane/Sheppard,38069
875,2020,Kennedy/Eglinton,28212
876,2020,Long Branch,25011
877,2020,Leaside,64348
878,2020,Locke,81105
879,2020,Lillian H. Smith,97500
880,2020,Main Street,55649
881,2020,Malvern,90922
882,2020,Maria A. Shchuka,67788
883,2020,McGregor Park,39622
884,2020,Mount Dennis,33095
885,2020,Merril Collection,3060
886,2020,Mimico Centennial,34626
887,2020,Mount Pleasant,12178
888,2020,Maryvale,26320
889,2020,Morningside,45944
890,2020,Northern District,85226
891,2020,Northern Elms,18821
892,2020,New Toronto,19076
893,2020,Osborne Collection,6169
894,2020,Oakwood Village Library and Arts Centre,26462
895,2020,Pape/Danforth,74252
896,2020,Perth/Dupont,10486
897,2020,Parkdale,116458
898,2020,Parliament Street,78685
899,2020,Palmerston,54360
900,2020,Port Union,17303
901,2020,Pleasant View,27866
